dataset,designation,prob,label,Depth_ppm,P_days,Teff_K,Rp_Re,Dur_hr,Rstar_Rsun
KOI,K04808.01,0.9285714285714286,1.0,254.4,2.40174996,3606.0,0.65,1.413,0.399
KOI,K07630.01,0.9285714285714286,1.0,199.0,16.2982201,3905.0,0.78,2.558,0.521
KOI,K03119.01,0.9285714285714286,1.0,1546.8,2.184437698,3421.0,0.94,1.0422,0.25
KOI,K02174.01,0.9285714285714286,1.0,781.8,6.69332825,4245.0,2.44,2.311,0.637
KOI,K02992.01,0.9285714285714286,1.0,1270.7,82.6595174,3952.0,2.03,3.48,0.553
KOI,K00503.01,0.9285714285714286,1.0,1468.6,8.22241355,4213.0,2.28,2.71,0.615
KOI,K00877.02,0.9285714285714286,1.0,1250.6,12.03987488,4261.0,2.18,2.7363,0.633
KOI,K00877.01,0.9285714285714286,1.0,1410.7,5.95489993,4261.0,2.33,2.3892,0.633
KOI,K02114.01,0.9285714285714286,1.0,684.0,4.421566535,4299.0,2.19,2.1229,0.697
KOI,K02015.01,0.9285714285714286,0.0,688.6,5.73865933,3841.0,1.84,4.051,0.509
KOI,K00854.01,0.9285714285714286,1.0,1626.0,56.0560754,3593.0,1.94,4.685,0.491
KOI,K00958.01,0.9285714285714286,1.0,1300.7,21.76129812,4859.0,2.53,1.243,0.72
KOI,K01895.01,0.9285714285714286,1.0,1320.3,8.45746636,4347.0,1.87,2.2906,0.524
KOI,K01577.01,0.9285714285714286,1.0,599.6,2.806243488,4153.0,1.41,1.6271,0.581
KOI,K00430.01,0.9285714285714286,1.0,1709.0,12.37646897,4200.0,2.53,2.7075,0.607
KOI,K01895.03,0.9285714285714286,1.0,1262.0,32.1340014,4347.0,1.84,2.691,0.524
