dataset,designation,prob,label,Depth_ppm,Dur_hr,Rstar_Rsun,P_days,Rp_Re,Teff_K
KOI,K03444.01,0.9514563106796117,1.0,215.8,2.498,0.529,12.67143692,0.76,3705.0
KOI,K01298.01,0.9514563106796117,1.0,1462.5,2.013,0.582,11.00817635,2.15,4141.0
KOI,K00663.02,0.9514563106796117,1.0,715.4,2.8014,0.553,20.30652862,1.58,4121.0
KOI,K08037.01,0.9514563106796117,1.0,253.2,1.527,0.45,3.65034525,0.72,3704.0
KOI,K02715.03,0.9514563106796117,1.0,1316.0,2.744,0.503,5.72084599,1.78,3640.0
KOI,K07617.01,0.9514563106796117,1.0,297.9,2.49,0.375,12.9284553,0.64,3578.0
KOI,K02006.01,0.9514563106796117,1.0,262.5,1.7292,0.496,3.27344784,0.81,3758.0
KOI,K01867.01,0.9514563106796117,1.0,495.1,1.6999,0.506,2.549562652,1.11,3716.0
KOI,K00250.02,0.9514563106796117,1.0,2054.8,2.0371,0.537,17.25121397,2.64,3879.0
KOI,K01085.01,0.9514563106796117,1.0,306.8,1.84,0.509,7.71790675,0.9,3975.0
KOI,K00781.01,0.9514563106796117,1.0,2804.5,2.5237,0.473,11.59822233,2.65,3688.0
KOI,K05831.01,0.9514563106796117,1.0,954.0,2.7355,0.585,10.552241908,1.75,4031.0
KOI,K02926.02,0.9514563106796117,1.0,1223.3,2.2942,0.564,5.53609368,2.2,3891.0
KOI,K01588.01,0.9514563106796117,1.0,532.8,1.5639,0.564,3.517494725,1.42,4132.0
KOI,K02926.01,0.9514563106796117,1.0,1617.1,2.996,0.564,12.2854718,2.21,3891.0
KOI,K05359.01,0.9514563106796117,1.0,869.0,1.874,0.527,2.7200197,1.53,3939.0
KOI,K00812.02,0.9514563106796117,1.0,1494.7,3.3203,0.493,20.06036336,1.96,3950.0
KOI,K08261.01,0.9514563106796117,0.0,1064.0,1.919,0.452,85.9770426,1.46,3710.0
KOI,K00775.01,0.9514563106796117,1.0,1127.1,3.0249,0.615,16.38489988,2.0,4126.0
KOI,K00784.01,0.9514563106796117,1.0,1219.8,2.7594,0.56,19.27153892,1.93,4077.0
KOI,K00775.02,0.9514563106796117,1.0,1306.1,2.0805,0.615,7.8774163,2.16,4126.0
KOI,K00812.04,0.9514563106796117,1.0,520.8,2.186,0.493,7.82502168,1.2,3950.0
KOI,K04957.02,0.9514563106796117,1.0,346.2,1.618,0.395,4.98792404,0.73,3606.0
KOI,K02835.01,0.9514563106796117,1.0,691.2,1.3251,0.53,6.30922043,1.37,4380.0
KOI,K01596.01,0.9285714285714286,1.0,406.5,2.6302,0.496,5.92365747,0.99,3883.0
KOI,K01584.01,0.9285714285714286,1.0,505.6,2.5736,0.612,5.87063416,1.44,4166.0
KOI,K07952.01,0.9285714285714286,0.0,158.0,1.5337,0.224,3.850304552,0.28,3274.0
KOI,K00255.02,0.9285714285714286,1.0,180.5,2.592,0.511,13.6032081,0.75,3780.0
