dataset,designation,prob,label,Rstar_Rsun,Rp_Re,P_days,Depth_ppm,Teff_K,Dur_hr
KOI,K07617.01,0.9514563106796117,1.0,0.375,0.64,12.9284553,297.9,3578.0,2.49
KOI,K02006.01,0.9514563106796117,1.0,0.496,0.81,3.27344784,262.5,3758.0,1.7292
KOI,K01867.01,0.9514563106796117,1.0,0.506,1.11,2.549562652,495.1,3716.0,1.6999
KOI,K00250.02,0.9514563106796117,1.0,0.537,2.64,17.25121397,2054.8,3879.0,2.0371
KOI,K01085.01,0.9514563106796117,1.0,0.509,0.9,7.71790675,306.8,3975.0,1.84
KOI,K00781.01,0.9514563106796117,1.0,0.473,2.65,11.59822233,2804.5,3688.0,2.5237
KOI,K05831.01,0.9514563106796117,1.0,0.585,1.75,10.552241908,954.0,4031.0,2.7355
KOI,K02926.02,0.9514563106796117,1.0,0.564,2.2,5.53609368,1223.3,3891.0,2.2942
KOI,K01588.01,0.9514563106796117,1.0,0.564,1.42,3.517494725,532.8,4132.0,1.5639
KOI,K02926.01,0.9514563106796117,1.0,0.564,2.21,12.2854718,1617.1,3891.0,2.996
KOI,K05359.01,0.9514563106796117,1.0,0.527,1.53,2.7200197,869.0,3939.0,1.874
KOI,K00812.02,0.9514563106796117,1.0,0.493,1.96,20.06036336,1494.7,3950.0,3.3203
KOI,K08261.01,0.9514563106796117,0.0,0.452,1.46,85.9770426,1064.0,3710.0,1.919
KOI,K00775.01,0.9514563106796117,1.0,0.615,2.0,16.38489988,1127.1,4126.0,3.0249
KOI,K00784.01,0.9514563106796117,1.0,0.56,1.93,19.27153892,1219.8,4077.0,2.7594
KOI,K00775.02,0.9514563106796117,1.0,0.615,2.16,7.8774163,1306.1,4126.0,2.0805
KOI,K00812.04,0.9514563106796117,1.0,0.493,1.2,7.82502168,520.8,3950.0,2.186
KOI,K04957.02,0.9514563106796117,1.0,0.395,0.73,4.98792404,346.2,3606.0,1.618
KOI,K02835.01,0.9514563106796117,1.0,0.53,1.37,6.30922043,691.2,4380.0,1.3251
KOI,K01596.01,0.9285714285714286,1.0,0.496,0.99,5.92365747,406.5,3883.0,2.6302
KOI,K01584.01,0.9285714285714286,1.0,0.612,1.44,5.87063416,505.6,4166.0,2.5736
KOI,K07952.01,0.9285714285714286,0.0,0.224,0.28,3.850304552,158.0,3274.0,1.5337
KOI,K00255.02,0.9285714285714286,1.0,0.511,0.75,13.6032081,180.5,3780.0,2.592
KOI,K01475.03,0.9285714285714286,1.0,0.603,1.22,4.72941177,434.3,4224.0,2.234
KOI,K03444.02,0.9285714285714286,1.0,0.529,4.98,60.32668824,3146.7,3705.0,1.6864
KOI,K00736.02,0.9285714285714286,1.0,0.602,1.44,6.73893544,601.3,4126.0,2.813
KOI,K03377.01,0.9285714285714286,1.0,0.508,0.99,10.0100312,375.8,4338.0,1.35
KOI,K07182.01,0.9285714285714286,1.0,0.684,1.74,6.853888,653.8,4199.0,2.561
KOI,K04808.01,0.9285714285714286,1.0,0.399,0.65,2.40174996,254.4,3606.0,1.413
KOI,K07630.01,0.9285714285714286,1.0,0.521,0.78,16.2982201,199.0,3905.0,2.558
KOI,K03119.01,0.9285714285714286,1.0,0.25,0.94,2.184437698,1546.8,3421.0,1.0422
KOI,K02174.01,0.9285714285714286,1.0,0.637,2.44,6.69332825,781.8,4245.0,2.311
KOI,K02992.01,0.9285714285714286,1.0,0.553,2.03,82.6595174,1270.7,3952.0,3.48
KOI,K00503.01,0.9285714285714286,1.0,0.615,2.28,8.22241355,1468.6,4213.0,2.71
KOI,K00877.02,0.9285714285714286,1.0,0.633,2.18,12.03987488,1250.6,4261.0,2.7363
KOI,K00877.01,0.9285714285714286,1.0,0.633,2.33,5.95489993,1410.7,4261.0,2.3892
KOI,K02114.01,0.9285714285714286,1.0,0.697,2.19,4.421566535,684.0,4299.0,2.1229
KOI,K02015.01,0.9285714285714286,0.0,0.509,1.84,5.73865933,688.6,3841.0,4.051
KOI,K00854.01,0.9285714285714286,1.0,0.491,1.94,56.0560754,1626.0,3593.0,4.685
KOI,K00958.01,0.9285714285714286,1.0,0.72,2.53,21.76129812,1300.7,4859.0,1.243
KOI,K01895.01,0.9285714285714286,1.0,0.524,1.87,8.45746636,1320.3,4347.0,2.2906
KOI,K01577.01,0.9285714285714286,1.0,0.581,1.41,2.806243488,599.6,4153.0,1.6271
KOI,K00430.01,0.9285714285714286,1.0,0.607,2.53,12.37646897,1709.0,4200.0,2.7075
KOI,K01895.03,0.9285714285714286,1.0,0.524,1.84,32.1340014,1262.0,4347.0,2.691
